lat,lon,to.work,
13.0262586,77.65222281,3,
12.93172725,77.53623382,2,
12.94782896,77.71362326,3,
13.0757348,77.56184648,2,
13.01307117,77.65643778,1,
13.05061204,77.60614194,1,
13.07379314,77.51828671,6,
13.06438523,77.59844019,2,
12.88954232,77.59350494,4,
13.03387352,77.56141638,1,
12.95159728,77.69164612,3,
12.9753694,77.5556016,4,
13.17226019,77.56313106,2,
12.95970138,77.50083409,3,
13.05061204,77.60614194,1,
13.01257254,77.67579314,4,
13.01257254,77.67579314,2,
13.03597181,77.57933704,2,
13.02191976,77.59640913,1,
13.05017687,77.51077005,1,
12.9152197,77.63541483,3,
12.98058183,77.76890117,6,
12.91620019,77.52253587,3,
12.99591939,77.5631442,1,
12.91296192,77.60168985,3,
13.03536801,77.63520151,2,
12.93172725,77.53623382,3,
12.99089273,77.54849809,2,
12.95797918,77.5257928,3,
13.07261279,77.59960859,1,
13.03213187,77.56837443,2,
12.8452062,77.66656922,4,
13.04472238,77.51591985,5,
12.90403366,77.54299499,3,
13.02262332,77.60117404,1,
13.06281076,77.58125422,1,
12.92379249,77.56501661,5,
13.08422276,77.49855638,2,
13.04033457,77.62199709,1,
12.91825898,77.48051066,3,
12.91801345,77.57698038,3,
12.98683991,77.55812742,3,
13.02301823,77.63498425,1,
12.96146277,77.53214875,3,
13.06481963,77.60477858,1,
13.02637567,77.57701701,1,
12.95159728,77.69164612,3,
13.0412682,77.61353297,1,
13.0709225,77.63061946,1,
13.05606805,77.56007552,4,
13.10305632,77.59473679,1,
13.04033457,77.62199709,1,
13.05017687,77.51077005,1,
12.90977145,77.48246942,4,
13.14334344,77.62029648,1,
12.92373213,77.54258097,3,
12.97307356,77.65247122,4,
13.00687792,77.56596377,1,
12.96233965,77.6457702,3,
12.96033301,77.51819902,3,
13.02477395,77.64866821,1,
12.93495668,77.5044202,1,
13.08291205,77.56211054,2,
13.04033457,77.62199709,1,
13.04047393,77.62108773,1,
13.01257254,77.67579314,1,
12.92680198,77.59061913,3,
13.00527619,77.55153012,6,
